featurization,target,fold,epoch,step,train_loss_epoch,train_loss_step,val/accuracy,val/binary-mcc,val/f1,val/prc,val/roc,val_loss
exp_2_cip_rs_singletask,R/S_class,0,0,36.142857142857146,0.6737620830535889,0.6659582614898681,1.0,0.1793137192726135,1.0,1.0,1.0,0.5297112464904785
exp_2_cip_rs_singletask,R/S_class,0,1,90.25,0.212796613574028,0.22317785076059707,1.0,0.9996297359466552,1.0,1.0,1.0,0.0001856596209108
exp_2_cip_rs_singletask,R/S_class,0,2,146.14285714285714,0.0001584855344844,8.330954533446755e-05,1.0,0.9998854994773864,1.0,1.0,1.0,5.731647252105176e-05
exp_2_cip_rs_singletask,R/S_class,0,3,200.25,6.403645238606259e-05,3.3421919852116844e-05,1.0,0.9999402761459352,1.0,1.0,1.0,2.988024425576441e-05
exp_2_cip_rs_singletask,R/S_class,0,4,256.14285714285717,4.597933730110526e-05,3.676776232168777e-05,1.0,0.9999566078186036,1.0,1.0,1.0,2.167409911635332e-05
exp_2_cip_rs_singletask,R/S_class,0,5,310.25,3.264524639234878e-05,3.1606040598338346e-05,1.0,0.9999709129333496,1.0,1.0,1.0,1.4542969438480212e-05
exp_2_cip_rs_singletask,R/S_class,0,6,366.14285714285717,2.0473165932344273e-05,2.6141848502447827e-05,1.0,0.99998277425766,1.0,1.0,1.0,8.563411938666832e-06
exp_2_cip_rs_singletask,R/S_class,0,7,420.25,1.4476240721705835e-05,7.006493069637567e-05,1.0,0.9999881982803344,1.0,1.0,1.0,5.824050276714843e-06
exp_2_cip_rs_singletask,R/S_class,0,8,476.14285714285717,5.6154560297727585e-05,0.00019206274464520916,1.0,0.999980092048645,1.0,1.0,1.0,9.921958735503722e-06
exp_2_cip_rs_singletask,R/S_class,0,9,530.25,1.1711879778886214e-05,1.887282474892042e-05,1.0,0.999990463256836,1.0,1.0,1.0,4.73690988656017e-06
exp_2_cip_rs_singletask,R/S_class,0,10,586.1428571428571,8.87148235051427e-06,3.239022419165849e-06,1.0,0.9999920129776,1.0,1.0,1.0,3.9343904063571244e-06
exp_2_cip_rs_singletask,R/S_class,0,11,640.25,7.514108801842667e-06,2.7446366554310466e-06,1.0,0.9999929666519164,1.0,1.0,1.0,3.432528956182068e-06
exp_2_cip_rs_singletask,R/S_class,0,12,696.1428571428571,6.601529094041325e-06,7.47927815609728e-06,1.0,0.999993860721588,1.0,1.0,1.0,3.055413799302187e-06
exp_2_cip_rs_singletask,R/S_class,0,13,750.25,5.94392440689262e-06,2.7482716736434063e-06,1.0,0.9999945759773254,1.0,1.0,1.0,2.63070569417323e-06
exp_2_cip_rs_singletask,R/S_class,0,14,806.1428571428571,5.182623226573924e-06,2.6408333042127195e-06,1.0,0.999995231628418,1.0,1.0,1.0,2.354635626033996e-06
exp_2_cip_rs_singletask,R/S_class,0,15,860.25,4.5962119656906e-06,2.67083301726719e-06,1.0,0.9999956488609314,1.0,1.0,1.0,2.116225459758425e-06
exp_2_cip_rs_singletask,R/S_class,0,16,916.1428571428571,4.16960438087699e-06,3.512769455937814e-06,1.0,0.9999960064888,1.0,1.0,1.0,1.927373659782461e-06
exp_2_cip_rs_singletask,R/S_class,0,17,970.25,3.823737188213272e-06,2.8088343810850347e-06,1.0,0.9999964237213136,1.0,1.0,1.0,1.7335356687908645e-06
exp_2_cip_rs_singletask,R/S_class,0,18,1026.142857142857,3.4963404687005095e-06,7.962397239680285e-06,1.0,0.999996781349182,1.0,1.0,1.0,1.583565449436719e-06
exp_2_cip_rs_singletask,R/S_class,0,19,1080.25,3.1433730782737257e-06,5.348443409047832e-06,1.0,0.999997079372406,1.0,1.0,1.0,1.4725139863003278e-06
exp_2_cip_rs_singletask,R/S_class,0,20,1136.142857142857,2.9311524940567324e-06,1.8480599919712403e-06,1.0,0.99999737739563,1.0,1.0,1.0,1.3219462289271178e-06
exp_2_cip_rs_singletask,R/S_class,1,0,36.142857142857146,0.6621267795562744,0.654764711856842,0.557894766330719,0.2572455406188965,0.2075471729040146,1.0,1.0,0.5163368582725525
exp_2_cip_rs_singletask,R/S_class,1,1,90.25,0.1157687902450561,0.10481897999610125,1.0,0.9974850416183472,1.0,1.0,1.0,0.0012691612355411
exp_2_cip_rs_singletask,R/S_class,1,2,146.14285714285714,0.0007456344319507,0.0002964125698781185,1.0,0.9997115135192872,1.0,1.0,1.0,0.000144513673149
exp_2_cip_rs_singletask,R/S_class,1,3,200.25,0.0001080362708307,5.517034029859739e-05,1.0,0.9997831583023072,1.0,1.0,1.0,0.000108670334157
exp_2_cip_rs_singletask,R/S_class,1,4,256.14285714285717,7.492652366636321e-05,0.0001089056906493698,1.0,0.999846875667572,1.0,1.0,1.0,7.674129301449284e-05
exp_2_cip_rs_singletask,R/S_class,1,5,310.25,4.829813406104222e-05,6.432541158572006e-05,1.0,0.9999088644981384,1.0,1.0,1.0,4.557463398668915e-05
exp_2_cip_rs_singletask,R/S_class,1,6,366.14285714285717,3.18514539685566e-05,3.828156277450034e-05,1.0,0.9999409317970276,1.0,1.0,1.0,2.9562732379417863e-05
exp_2_cip_rs_singletask,R/S_class,1,7,420.25,1.7232432583114132e-05,2.0783761556231184e-05,1.0,0.9999657273292542,1.0,1.0,1.0,1.7154081433545798e-05
exp_2_cip_rs_singletask,R/S_class,1,8,476.14285714285717,1.299364521401003e-05,1.5064452418300789e-05,1.0,0.99997216463089,1.0,1.0,1.0,1.3897686585551128e-05
exp_2_cip_rs_singletask,R/S_class,1,9,530.25,1.6283438526443206e-05,6.409854677258409e-06,1.0,0.9999823570251464,1.0,1.0,1.0,8.814259672362823e-06
exp_2_cip_rs_singletask,R/S_class,1,10,586.1428571428571,6.639565071964171e-06,6.413721848730347e-06,1.0,0.9999802112579346,1.0,1.0,1.0,9.88114970823517e-06
exp_2_cip_rs_singletask,R/S_class,1,11,640.25,5.740787855756935e-06,4.932920215120855e-06,1.0,0.999980092048645,1.0,1.0,1.0,9.960856004909148e-06
exp_2_cip_rs_singletask,R/S_class,1,12,696.1428571428571,4.6370673771889415e-06,1.5190887825156097e-05,1.0,0.999987244606018,1.0,1.0,1.0,6.37766288491548e-06
exp_2_cip_rs_singletask,R/S_class,1,13,750.25,4.31066655437462e-06,1.7569136237701362e-06,1.0,0.9999908208847046,1.0,1.0,1.0,4.609578354575206e-06
exp_2_cip_rs_singletask,R/S_class,1,14,806.1428571428571,3.7991667340975255e-06,1.996341939047852e-06,1.0,0.9999920725822448,1.0,1.0,1.0,3.949543497583363e-06
exp_2_cip_rs_singletask,R/S_class,1,15,860.25,3.301700871816138e-06,3.050638544740044e-06,1.0,0.9999920129776,1.0,1.0,1.0,4.013569196104072e-06
exp_2_cip_rs_singletask,R/S_class,1,16,916.1428571428571,2.593375256765285e-06,1.1227851302919588e-06,1.0,0.999991774559021,1.0,1.0,1.0,4.154747784923529e-06
exp_2_cip_rs_singletask,R/S_class,1,17,970.25,2.265162265757681e-06,4.227404507635886e-06,1.0,0.9999924302101136,1.0,1.0,1.0,3.81343534172629e-06
exp_2_cip_rs_singletask,R/S_class,1,18,1026.142857142857,2.2336889742291532e-06,3.85597569447782e-06,1.0,0.999994158744812,1.0,1.0,1.0,2.9237542094051605e-06
exp_2_cip_rs_singletask,R/S_class,1,19,1080.25,1.8910612880063129e-06,1.4824673660503624e-06,1.0,0.999994456768036,1.0,1.0,1.0,2.7468254302220885e-06
exp_2_cip_rs_singletask,R/S_class,1,20,1136.142857142857,1.6728888567740796e-06,1.762376382430375e-06,1.0,0.999993622303009,1.0,1.0,1.0,3.2268042104988126e-06
exp_2_cip_rs_singletask,R/S_class,1,21,1190.25,1.5965779311954975e-06,4.910025997636088e-07,1.0,0.999994933605194,1.0,1.0,1.0,2.490215138095664e-06
exp_2_cip_rs_singletask,R/S_class,1,22,1246.142857142857,1.4290083072410198e-06,5.945533416706894e-07,1.0,0.9999954700469972,1.0,1.0,1.0,2.2768936105421744e-06
exp_2_cip_rs_singletask,R/S_class,2,0,36.142857142857146,0.6779983639717102,0.6812891840934754,0.9842105507850648,0.1756889820098877,0.984455943107605,1.0,1.0,0.5347495079040527
exp_2_cip_rs_singletask,R/S_class,2,1,90.25,0.3344604074954986,0.5336366767684618,0.9736841917037964,0.7125563025474548,0.9729729890823364,1.0,1.0,0.1786517649888992
exp_2_cip_rs_singletask,R/S_class,2,2,146.14285714285714,0.0242092907428741,0.01267620738362886,1.0,0.999720811843872,1.0,1.0,1.0,0.0001397917076246
exp_2_cip_rs_singletask,R/S_class,2,3,200.25,0.0001070119760697,0.00013614285762741726,1.0,0.9999626874923706,1.0,1.0,1.0,1.8659706256585196e-05
