featurization,target,fold,epoch,step,train_loss_epoch,train_loss_step,val/accuracy,val/binary-mcc,val/f1,val/prc,val/roc,val_loss
exp_1_default_parity_singletask,R/S_class,0,0,36.142857142857146,0.693971574306488,0.6936627149581909,0.5,-2.384185791015625e-06,0.6666666865348816,0.4889196455478668,0.501939058303833,0.693167507648468
exp_1_default_parity_singletask,R/S_class,0,1,90.25,0.6940847635269165,0.6958943804105123,0.5,-3.0994415283203125e-06,0.6666666865348816,0.5077182650566101,0.501939058303833,0.6932100653648376
exp_1_default_parity_singletask,R/S_class,0,2,146.14285714285714,0.693834125995636,0.6937509059906006,0.5,5.424022674560547e-06,0.6666666865348816,0.5273756980895996,0.5170636773109436,0.6931785345077515
exp_1_default_parity_singletask,R/S_class,0,3,200.25,0.6933929920196533,0.6936723788579305,0.5105262994766235,-1.0609626770019531e-05,0.4000000059604645,0.5100578665733337,0.4880332350730896,0.6931586861610413
exp_1_default_parity_singletask,R/S_class,0,4,256.14285714285717,0.6933364868164062,0.6929087281227112,0.5,-1.0967254638671877e-05,0.6666666865348816,0.4726347029209137,0.4926315546035766,0.6932132840156555
exp_1_default_parity_singletask,R/S_class,0,5,310.25,0.6929365992546082,0.6918736894925436,0.4789473712444305,0.0008027553558349,0.481675386428833,0.5163105726242065,0.5249861478805542,0.6924593448638916
exp_1_default_parity_singletask,R/S_class,0,6,366.14285714285717,0.6843472719192505,0.6890701651573181,0.5894736647605896,0.0488299131393432,0.6829268336296082,0.6376584768295288,0.6005540490150452,0.6616790890693665
exp_1_default_parity_singletask,R/S_class,0,7,420.25,0.6540383696556091,0.657718668381373,0.6000000238418579,0.1134867668151855,0.4571428596973419,0.6879428029060364,0.6867589950561523,0.6261709332466125
exp_1_default_parity_singletask,R/S_class,0,8,476.14285714285717,0.6150605082511902,0.5797569394111634,0.7052631378173828,0.2097212076187133,0.7083333134651184,0.7546902894973755,0.7823822498321533,0.5700013637542725
exp_1_default_parity_singletask,R/S_class,0,9,530.25,0.5718546509742737,0.5884792308012644,0.74210524559021,0.2901538610458374,0.7487179636955261,0.7903457283973694,0.8095290660858154,0.5378320813179016
exp_1_default_parity_singletask,R/S_class,0,10,586.1428571428571,0.5498197078704834,0.5027899146080017,0.7052631378173828,0.2724485397338867,0.7052631378173828,0.7587652206420898,0.7718559503555298,0.5860989093780518
exp_1_default_parity_singletask,R/S_class,0,11,640.25,0.5244036912918091,0.5551745394865671,0.7263157963752747,0.3013563156127929,0.7111111283302307,0.7800718545913696,0.8040997385978699,0.5571411848068237
exp_1_default_parity_singletask,R/S_class,0,12,696.1428571428571,0.5074114203453064,0.49158830046653745,0.7157894968986511,0.3047332763671875,0.71875,0.7739077806472778,0.779944658279419,0.5909796357154846
exp_1_default_parity_singletask,R/S_class,0,13,750.25,0.49003466963768,0.4766121655702591,0.7368420958518982,0.3076944351196289,0.7549019455909729,0.7889835238456726,0.8040996789932251,0.5565444827079773
exp_1_default_parity_singletask,R/S_class,0,14,806.1428571428571,0.4705518186092376,0.493809974193573,0.7315789461135864,0.3256126642227173,0.7213114500045776,0.7782469987869263,0.8022160530090332,0.5675686597824097
exp_1_default_parity_singletask,R/S_class,0,15,860.25,0.4626893401145935,0.441576545437177,0.7052631378173828,0.3031242489814758,0.698924720287323,0.77910977602005,0.7974515557289124,0.5612674951553345
exp_1_default_parity_singletask,R/S_class,0,16,916.1428571428571,0.4472587406635284,0.41338993310928346,0.7105262875556946,0.3625083565711975,0.7027027010917664,0.7664890289306641,0.7914681434631348,0.6267145276069641
exp_1_default_parity_singletask,R/S_class,0,17,970.25,0.4440067410469055,0.5175357659657797,0.7368420958518982,0.3702973127365112,0.7368420958518982,0.8105859756469727,0.8178393244743347,0.5424616932868958
exp_1_default_parity_singletask,R/S_class,0,18,1026.142857142857,0.4150338470935821,0.3996802568435669,0.7315789461135864,0.3675085306167602,0.7301587462425232,0.7929215431213379,0.8076454401016235,0.5795770883560181
exp_1_default_parity_singletask,R/S_class,0,19,1080.25,0.4016503989696502,0.40672734876473743,0.7210526466369629,0.3831660747528076,0.728205144405365,0.7931863069534302,0.8072022199630737,0.6155526638031006
exp_1_default_parity_singletask,R/S_class,1,0,36.142857142857146,0.6939578652381897,0.6940688490867615,0.5,3.451108932495117e-05,0.0206185560673475,0.512587308883667,0.5127977728843689,0.6931993961334229
exp_1_default_parity_singletask,R/S_class,1,1,90.25,0.6933992505073547,0.6925788819789886,0.5,0.0001112222671508,0.0,0.518876314163208,0.5208864212036133,0.6952762007713318
exp_1_default_parity_singletask,R/S_class,1,2,146.14285714285714,0.6938062906265259,0.6923402309417724,0.5,-5.3882598876953125e-05,0.0,0.4902918338775635,0.4580055475234985,0.6933402419090271
exp_1_default_parity_singletask,R/S_class,1,3,200.25,0.6934717297554016,0.6931488414605459,0.5,0.0001546740531921,0.0404040403664112,0.5467187166213989,0.558892011642456,0.693000078201294
exp_1_default_parity_singletask,R/S_class,1,4,256.14285714285717,0.6928279995918274,0.6926804542541504,0.6052631735801697,0.0014455318450927,0.5762711763381958,0.5304895639419556,0.5626592636108398,0.6918122172355652
exp_1_default_parity_singletask,R/S_class,1,5,310.25,0.6867785453796387,0.6820789078871409,0.5473684072494507,0.0178042650222778,0.5057471394538879,0.6104824542999268,0.5845983028411865,0.6826918721199036
exp_1_default_parity_singletask,R/S_class,1,6,366.14285714285717,0.6534256935119629,0.6617742776870728,0.621052622795105,0.1120165586471557,0.6842105388641357,0.7137141227722168,0.7153462171554565,0.6419835090637207
exp_1_default_parity_singletask,R/S_class,1,7,420.25,0.6073892116546631,0.6222302317619324,0.6842105388641357,0.1812027692794799,0.699999988079071,0.7190278768539429,0.7553462386131287,0.5906969904899597
exp_1_default_parity_singletask,R/S_class,1,8,476.14285714285717,0.5647745132446289,0.6109870553016663,0.7315789461135864,0.2625385522842407,0.7487684488296509,0.8113846778869629,0.8114127516746521,0.5363094806671143
exp_1_default_parity_singletask,R/S_class,1,9,530.25,0.5402786731719971,0.5360905130704244,0.7315789461135864,0.2588015794754028,0.764976978302002,0.7937211990356445,0.8135179281234741,0.5585082769393921
