AUROC,AUPRC,MCC,Accuracy,F1,threshold,MCC_tuned,Accuracy_tuned,F1_tuned,threshold_tuned,fold,model,featurization,target,split,epochs_run,best_epoch,best_score,es_triggered,monitor,min_epochs,max_epochs,patience,min_delta,run_tag
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0,chemprop,exp_2_cip_rs_singletask,R/S_class,train,21,20,1.3219462289271178e-06,True,val_loss,10,75,10,1e-05,exp2_cip
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0,chemprop,exp_2_cip_rs_singletask,R/S_class,val,21,20,1.3219462289271178e-06,True,val_loss,10,75,10,1e-05,exp2_cip
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0,chemprop,exp_2_cip_rs_singletask,R/S_class,test,21,20,1.3219462289271178e-06,True,val_loss,10,75,10,1e-05,exp2_cip
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1,chemprop,exp_2_cip_rs_singletask,R/S_class,train,23,22,2.2768936105421744e-06,True,val_loss,10,75,10,1e-05,exp2_cip
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1,chemprop,exp_2_cip_rs_singletask,R/S_class,val,23,22,2.2768936105421744e-06,True,val_loss,10,75,10,1e-05,exp2_cip
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1,chemprop,exp_2_cip_rs_singletask,R/S_class,test,23,22,2.2768936105421744e-06,True,val_loss,10,75,10,1e-05,exp2_cip
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2,chemprop,exp_2_cip_rs_singletask,R/S_class,train,16,15,3.312755723072769e-07,True,val_loss,10,75,10,1e-05,exp2_cip
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2,chemprop,exp_2_cip_rs_singletask,R/S_class,val,16,15,3.312755723072769e-07,True,val_loss,10,75,10,1e-05,exp2_cip
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2,chemprop,exp_2_cip_rs_singletask,R/S_class,test,16,15,3.312755723072769e-07,True,val_loss,10,75,10,1e-05,exp2_cip
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,3,chemprop,exp_2_cip_rs_singletask,R/S_class,train,22,21,2.2944573174754623e-06,True,val_loss,10,75,10,1e-05,exp2_cip
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,3,chemprop,exp_2_cip_rs_singletask,R/S_class,val,22,21,2.2944573174754623e-06,True,val_loss,10,75,10,1e-05,exp2_cip
