AUROC,AUPRC,MCC,Accuracy,F1,threshold,MCC_tuned,Accuracy_tuned,F1_tuned,threshold_tuned,fold,model,featurization,target,split,fp_size
0.9849751382302494,0.9855847370192166,0.854707570748311,0.9272570442783209,0.928022759601707,0.5,0.8568178026754447,0.9284071305347901,0.9283040598905845,0.5025345814094406,0,RF,morgan_count_chiral,R/S_class,train,2048
0.9043767313019391,0.9027335820768893,0.6526677388265522,0.8263157894736842,0.8272251308900523,0.5,0.663304903804207,0.8315789473684211,0.8297872340425532,0.5025345814094406,0,RF,morgan_count_chiral,R/S_class,val,2048
0.9237673130193905,0.9259607628358302,0.626067380418259,0.8105263157894737,0.8217821782178217,0.5,0.635855855098946,0.8157894736842105,0.8258706467661692,0.5025345814094406,0,RF,morgan_count_chiral,R/S_class,test,2048
0.9848380736088271,0.9854691255915482,0.8476137111600001,0.9238067855089132,0.9238286864041391,0.5,0.8202866545522556,0.9048303622771708,0.896530165676774,0.5183878769514223,1,RF,morgan_count_chiral,R/S_class,train,2048
0.9226038781163435,0.925895709786028,0.653537383101465,0.8263157894736842,0.8307692307692308,0.5,0.6968331009159386,0.8421052631578947,0.8255813953488372,0.5183878769514223,1,RF,morgan_count_chiral,R/S_class,val,2048
0.911578947368421,0.9177658337454677,0.6222950141685435,0.8105263157894737,0.8163265306122449,0.5,0.6419407387663695,0.8157894736842105,0.7976878612716763,0.5183878769514223,1,RF,morgan_count_chiral,R/S_class,test,2048
0.9839946880432364,0.9847919680323511,0.8444986235365985,0.9220816561242093,0.9209682123067949,0.5,0.8374145853456781,0.9163312248418631,0.911630731855451,0.5094594610097292,2,RF,morgan_count_chiral,R/S_class,train,2048
0.8993905817174516,0.9039027974009745,0.6005325641789633,0.8,0.8041237113402062,0.5,0.635855855098946,0.8157894736842105,0.8044692737430168,0.5094594610097292,2,RF,morgan_count_chiral,R/S_class,val,2048
0.932409972299169,0.9340303632981126,0.6950835075873721,0.8473684210526315,0.8449197860962567,0.5,0.7190233885442832,0.8578947368421053,0.850828729281768,0.5094594610097292,2,RF,morgan_count_chiral,R/S_class,test,2048
0.9864466401972672,0.9868653651331343,0.860578886566031,0.930132259919494,0.931063829787234,0.5,0.8536704459789352,0.9252443933294997,0.9283351708930541,0.4935200513342519,3,RF,morgan_count_chiral,R/S_class,train,2048
0.9123545706371191,0.914521997479285,0.6631578947368421,0.8315789473684211,0.8315789473684211,0.5,0.6668627162714535,0.8315789473684211,0.84,0.4935200513342519,3,RF,morgan_count_chiral,R/S_class,val,2048
