AUROC,MCC,Accuracy,F1,AUPRC,fold,model,featurization,target,split,stopped_epoch
0.5058527750708387,0.01092790828631685,0.5054629097182288,0.510250569476082,0.5159689762845199,0,chemprop,exp_2_cip_rs_singletask,R/S_class,train,14
1.0,0.9791643818062103,0.9894736842105263,0.9895833333333334,1.0000000000000002,0,chemprop,exp_2_cip_rs_singletask,R/S_class,val,14
0.9963434903047091,0.9263671131731708,0.9631578947368421,0.9633507853403142,0.996381449605307,0,chemprop,exp_2_cip_rs_singletask,R/S_class,test,14
0.5001127600383715,-0.0057504550515130514,0.4971247843588269,0.49784668389319553,0.5020086775001789,1,chemprop,exp_2_cip_rs_singletask,R/S_class,train,17
1.0,0.9895285072531597,0.9947368421052631,0.9947643979057592,1.0000000000000002,1,chemprop,exp_2_cip_rs_singletask,R/S_class,val,17
0.9908033240997229,0.9789473684210527,0.9894736842105263,0.9894736842105263,0.9908685744188401,1,chemprop,exp_2_cip_rs_singletask,R/S_class,test,17
0.5007294681661216,-0.007477954691308461,0.496262219666475,0.5025553662691652,0.5016339473117792,2,chemprop,exp_2_cip_rs_singletask,R/S_class,train,15
1.0,0.9895285072531597,0.9947368421052631,0.9947643979057592,1.0000000000000002,2,chemprop,exp_2_cip_rs_singletask,R/S_class,val,15
0.9822714681440443,0.9376736528408374,0.968421052631579,0.9690721649484536,0.9792261366748198,2,chemprop,exp_2_cip_rs_singletask,R/S_class,test,15
0.48407107387568155,-0.018976624035606383,0.4905117883841288,0.4893371757925072,0.4878876518072317,3,chemprop,exp_2_cip_rs_singletask,R/S_class,train,15
1.0,0.9791643818062103,0.9894736842105263,0.9895833333333334,1.0,3,chemprop,exp_2_cip_rs_singletask,R/S_class,val,15
0.9983379501385041,0.9789473684210527,0.9894736842105263,0.9894736842105263,0.998381127925051,3,chemprop,exp_2_cip_rs_singletask,R/S_class,test,15
0.48085790879399337,-0.029931598556418276,0.48504887866589996,0.4962025316455696,0.48687265966263005,4,chemprop,exp_2_cip_rs_singletask,R/S_class,train,14
0.9998891966759003,0.9789473684210527,0.9894736842105263,0.9894736842105263,0.9998903508771932,4,chemprop,exp_2_cip_rs_singletask,R/S_class,val,14
0.9986703601108033,0.9276014469827246,0.9631578947368421,0.9641025641025641,0.9987001175139141,4,chemprop,exp_2_cip_rs_singletask,R/S_class,test,14
0.5039087391013786,0.0,0.5,0.48717192568563844,0.5095909657675227,0,chemprop,exp_2_cip_rs_singletask,@/@@_class,train,38
