AUROC,MCC,Accuracy,F1,AUPRC,fold,model,featurization,target,split,stopped_epoch
0.49965609841669695,-0.008053066063802882,0.49597469810235767,0.5021300766827606,0.5030904291654357,0,chemprop,exp_2_cip_rs_singletask,R/S_class,train,15
1.0,0.9895285072531597,0.9947368421052631,0.9947643979057592,1.0000000000000002,0,chemprop,exp_2_cip_rs_singletask,R/S_class,val,15
0.9964542936288089,0.8949351876723428,0.9473684210526315,0.9479166666666666,0.9965695268879655,0,chemprop,exp_2_cip_rs_singletask,R/S_class,test,15
0.4967744346208369,-0.008625646923519264,0.49568717653824035,0.49568717653824035,0.4903141752812808,1,chemprop,exp_2_cip_rs_singletask,R/S_class,train,17
1.0,1.0,1.0,1.0,1.0000000000000002,1,chemprop,exp_2_cip_rs_singletask,R/S_class,val,17
0.9892520775623269,0.9789473684210527,0.9894736842105263,0.9894736842105263,0.9885277713440902,1,chemprop,exp_2_cip_rs_singletask,R/S_class,test,17
0.49018012176100095,-0.005175388154111558,0.4974123059229442,0.4974123059229442,0.49272076630824735,2,chemprop,exp_2_cip_rs_singletask,R/S_class,train,16
1.0,1.0,1.0,1.0,1.0000000000000002,2,chemprop,exp_2_cip_rs_singletask,R/S_class,val,16
0.9839335180055401,0.9789473684210527,0.9894736842105263,0.9894736842105263,0.9759231591831907,2,chemprop,exp_2_cip_rs_singletask,R/S_class,test,16
0.47305729499580207,-0.04255404282611184,0.4787234042553192,0.48036686729721984,0.4816336213216188,3,chemprop,exp_2_cip_rs_singletask,R/S_class,train,17
0.9998891966759003,0.9789473684210527,0.9894736842105263,0.9894736842105263,0.9998903508771932,3,chemprop,exp_2_cip_rs_singletask,R/S_class,val,17
0.9986703601108033,0.9789473684210527,0.9894736842105263,0.9894736842105263,0.9986723900609733,3,chemprop,exp_2_cip_rs_singletask,R/S_class,test,17
0.4939073205073474,-0.02300538072509832,0.48849913743530765,0.48389904264577893,0.5026697132325485,4,chemprop,exp_2_cip_rs_singletask,R/S_class,train,15
0.9998891966759003,0.9789473684210527,0.9894736842105263,0.9894736842105263,0.9998903508771932,4,chemprop,exp_2_cip_rs_singletask,R/S_class,val,15
0.9982271468144045,0.9376736528408374,0.968421052631579,0.967741935483871,0.9982693676773191,4,chemprop,exp_2_cip_rs_singletask,R/S_class,test,15
0.5145324872913485,0.03280109047215629,0.5163887291546866,0.5070339976553341,0.5134524498046653,0,chemprop,exp_2_cip_rs_singletask,@/@@_class,train,39
0.8269252077562328,0.48488257455915146,0.7421052631578947,0.7351351351351352,0.8250498953282639,0,chemprop,exp_2_cip_rs_singletask,@/@@_class,val,39
