AUROC,AUPRC,MCC,Accuracy,F1,threshold,MCC_tuned,Accuracy_tuned,F1_tuned,threshold_tuned,fold,model,featurization,target,split,epochs_run,best_epoch,best_score,es_triggered,monitor,min_epochs,max_epochs,patience,min_delta,run_tag
0.8078208510836703,0.7989855518120588,0.4761380715556218,0.7372052903967797,0.7479316050744622,0.5,0.48082108426411013,0.7392179413456009,0.7255673222390318,0.587804913520813,0,chemprop,exp_1_default_parity_singletask,R/S_class,train,20,9,0.5378320813179016,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8095290858725761,0.7939837774640919,0.48488257455915146,0.7421052631578947,0.7487179487179487,0.5,0.5066403971048988,0.7526315789473684,0.7431693989071039,0.587804913520813,0,chemprop,exp_1_default_parity_singletask,R/S_class,val,20,9,0.5378320813179016,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8716897506925207,0.8708992624725038,0.559010775439539,0.7789473684210526,0.7857142857142857,0.5,0.5488604301969737,0.7736842105263158,0.7650273224043715,0.587804913520813,0,chemprop,exp_1_default_parity_singletask,R/S_class,test,20,9,0.5378320813179016,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8778491336821509,0.876896499066399,0.5894839697800606,0.7944220816561242,0.7895201648513395,0.5,0.584463767045176,0.7915468660149512,0.7984431470670003,0.43658190965652466,1,chemprop,exp_1_default_parity_singletask,R/S_class,train,25,14,0.5089298486709595,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8332409972299168,0.821534108277273,0.5162472920134947,0.7578947368421053,0.7526881720430108,0.5,0.5699704467430112,0.7842105263157895,0.7918781725888325,0.43658190965652466,1,chemprop,exp_1_default_parity_singletask,R/S_class,val,25,14,0.5089298486709595,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.7669806094182826,0.7657281324130145,0.45263157894736844,0.7263157894736842,0.7263157894736842,0.5,0.42220033092074905,0.7105263157894737,0.7208121827411168,0.43658190965652466,1,chemprop,exp_1_default_parity_singletask,R/S_class,test,25,14,0.5089298486709595,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9420859813479684,0.9438683016165198,0.6940770557791834,0.8470385278895918,0.8470385278895918,0.5,0.6975671566153615,0.8484761357101782,0.8515911010982822,0.47572654485702515,2,chemprop,exp_1_default_parity_singletask,R/S_class,train,39,28,0.45964938402175903,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8712465373961219,0.8715827058456265,0.6105601427732262,0.8052631578947368,0.8042328042328042,0.5,0.6108309612131453,0.8052631578947368,0.8082901554404145,0.47572654485702515,2,chemprop,exp_1_default_parity_singletask,R/S_class,val,39,28,0.45964938402175903,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.788365650969529,0.7958660901069248,0.4105263157894737,0.7052631578947368,0.7052631578947368,0.5,0.42107596053325946,0.7105263157894737,0.7120418848167539,0.47572654485702515,2,chemprop,exp_1_default_parity_singletask,R/S_class,test,39,28,0.45964938402175903,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8109119972382057,0.801619057519956,0.4646349244350611,0.7323174238067856,0.7323943661971831,0.5,0.46808995199161213,0.7314548591144335,0.75,0.39623743295669556,3,chemprop,exp_1_default_parity_singletask,R/S_class,train,19,8,0.5764914751052856,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.7807202216066482,0.7403432677353292,0.4421297585599224,0.7210526315789474,0.7225130890052356,0.5,0.4675562562464481,0.7315789473684211,0.7487684729064039,0.39623743295669556,3,chemprop,exp_1_default_parity_singletask,R/S_class,val,19,8,0.5764914751052856,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8160664819944599,0.8185712592563259,0.4631835565865854,0.7315789473684211,0.7301587301587301,0.5,0.4576281140501057,0.7263157894736842,0.7450980392156863,0.39623743295669556,3,chemprop,exp_1_default_parity_singletask,R/S_class,test,19,8,0.5764914751052856,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9695174234099759,0.9712531402584689,0.7690923668224229,0.8841288096607246,0.8867659454903063,0.5,0.7637786400732642,0.881828637147786,0.8807658833768495,0.5437695980072021,4,chemprop,exp_1_default_parity_singletask,R/S_class,train,44,33,0.39928102493286133,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9109141274238227,0.9125893771366181,0.6644845066545464,0.8315789473684211,0.8367346938775511,0.5,0.6947753348798781,0.8473684210526315,0.8465608465608465,0.5437695980072021,4,chemprop,exp_1_default_parity_singletask,R/S_class,val,44,33,0.39928102493286133,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8838781163434903,0.8623227772791627,0.5910804632890487,0.7947368421052632,0.8020304568527918,0.5,0.5692099788303082,0.7842105263157895,0.7897435897435897,0.5437695980072021,4,chemprop,exp_1_default_parity_singletask,R/S_class,test,44,33,0.39928102493286133,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.999521844529369,0.9995245009988732,0.9752926572038606,0.9876365727429557,0.9876755517340212,0.5,0.9737128849034339,0.9867740080506038,0.9868945868945869,0.37427669763565063,0,chemprop,exp_1_default_parity_singletask,@/@@_class,train,75,74,0.0627158060669899,False,val_loss,10,75,10,1e-05,exp1_default_parity
0.9977839335180055,0.997831125418021,0.9368421052631579,0.968421052631579,0.968421052631579,0.5,0.9474209111998337,0.9736842105263158,0.9738219895287958,0.37427669763565063,0,chemprop,exp_1_default_parity_singletask,@/@@_class,val,75,74,0.0627158060669899,False,val_loss,10,75,10,1e-05,exp1_default_parity
