AUROC,MCC,Accuracy,F1,AUPRC,fold,model,featurization,target,split,stopped_epoch
0.4999445983379502,0.0,0.5,0.0,0.5000000000000001,3,chemprop,exp_0_neg_control_no_stereo_singletask,F/L_class,val,14
0.5,0.0,0.5,0.0,0.5000000000000001,3,chemprop,exp_0_neg_control_no_stereo_singletask,F/L_class,test,14
0.5110585852880887,0.0,0.5,0.0,0.5199395326082786,4,chemprop,exp_0_neg_control_no_stereo_singletask,F/L_class,train,13
0.49994459833795013,0.0,0.5,0.0,0.5,4,chemprop,exp_0_neg_control_no_stereo_singletask,F/L_class,val,13
0.5,0.0,0.5,0.0,0.5000000000000001,4,chemprop,exp_0_neg_control_no_stereo_singletask,F/L_class,test,13
0.5071352965043396,0.009650721026886461,0.5040253018976423,0.315204446208813,0.5117320454664256,0,chemprop,exp_0_neg_control_no_stereo_multitask,R/S_class,train,13
0.490494923979563,0.007605057523922031,0.5005750431282346,0.012507106310403639,0.4999610825672308,0,chemprop,exp_0_neg_control_no_stereo_multitask,@/@@_class,train,13
0.5129745139166059,0.0,0.5,0.0,0.5032983642062214,0,chemprop,exp_0_neg_control_no_stereo_multitask,F/L_class,train,13
0.4999445983379502,0.0,0.5,0.3262411347517731,0.5,0,chemprop,exp_0_neg_control_no_stereo_multitask,R/S_class,val,13
0.5,0.0,0.5,0.0,0.5000000000000001,0,chemprop,exp_0_neg_control_no_stereo_multitask,@/@@_class,val,13
0.5,0.0,0.5,0.0,0.5000000000000001,0,chemprop,exp_0_neg_control_no_stereo_multitask,F/L_class,val,13
0.5,0.0,0.5,0.2962962962962963,0.5000000000000001,0,chemprop,exp_0_neg_control_no_stereo_multitask,R/S_class,test,13
0.4998891966759002,0.0,0.5,0.020618556701030927,0.5,0,chemprop,exp_0_neg_control_no_stereo_multitask,@/@@_class,test,13
0.5000554016620499,0.0,0.5,0.0,0.5000401767778224,0,chemprop,exp_0_neg_control_no_stereo_multitask,F/L_class,test,13
0.5028489270105263,0.0,0.5,0.6666666666666666,0.5020817302746601,1,chemprop,exp_0_neg_control_no_stereo_multitask,R/S_class,train,14
0.5065334687335593,0.0,0.5,0.0,0.5028032580486721,1,chemprop,exp_0_neg_control_no_stereo_multitask,@/@@_class,train,14
0.5115574079211778,0.017267360351992726,0.5086256469235193,0.49779606229797235,0.5048729935972343,1,chemprop,exp_0_neg_control_no_stereo_multitask,F/L_class,train,14
0.5,0.0,0.5,0.6666666666666666,0.5000000000000001,1,chemprop,exp_0_neg_control_no_stereo_multitask,R/S_class,val,14
0.50005540166205,0.0,0.5,0.0,0.5002770083102495,1,chemprop,exp_0_neg_control_no_stereo_multitask,@/@@_class,val,14
0.5000554016620499,0.0,0.5,0.5320197044334976,0.5005847953216374,1,chemprop,exp_0_neg_control_no_stereo_multitask,F/L_class,val,14
0.5,0.0,0.5,0.6666666666666666,0.5000000000000001,1,chemprop,exp_0_neg_control_no_stereo_multitask,R/S_class,test,14
