AUROC,AUPRC,MCC,Accuracy,F1,threshold,MCC_tuned,Accuracy_tuned,F1_tuned,threshold_tuned,fold,model,featurization,target,split,fp_size
0.9936368286850956,0.9938423113265353,0.891320532984523,0.9456584243818287,0.9455801900374317,0.5,0.888119532872817,0.9430707303047728,0.9449081803005008,0.47586075146174495,0,RF,morgan_count_chiral,R/S_class,train,512
0.918393351800554,0.9238238844090872,0.6211903067372733,0.8105263157894737,0.8085106382978723,0.5,0.6568259205109619,0.8210526315789474,0.8380952380952381,0.47586075146174495,0,RF,morgan_count_chiral,R/S_class,val,512
0.9403878116343489,0.9421852864290878,0.6746192341692543,0.8368421052631579,0.841025641025641,0.5,0.6783611965932885,0.8315789473684211,0.8476190476190476,0.47586075146174495,0,RF,morgan_count_chiral,R/S_class,test,512
0.9938454843572728,0.9940343347736313,0.8930898216131318,0.9465209890741806,0.946242774566474,0.5,0.8917173042438139,0.9447958596894767,0.9466370205669816,0.4722173634870486,1,RF,morgan_count_chiral,R/S_class,train,512
0.9473684210526315,0.952323479369666,0.7269604724271661,0.8631578947368421,0.8602150537634409,0.5,0.727532837268552,0.8578947368421053,0.8695652173913043,0.4722173634870486,1,RF,morgan_count_chiral,R/S_class,val,512
0.9385595567867037,0.9460380468659303,0.7052631578947368,0.8526315789473684,0.8526315789473684,0.5,0.6753920824262175,0.8315789473684211,0.8461538461538461,0.4722173634870486,1,RF,morgan_count_chiral,R/S_class,test,512
0.9936259164233178,0.9938134005050825,0.8922318408981162,0.9459459459459459,0.9451895043731778,0.5,0.8910910397593831,0.9442208165612421,0.9419856459330144,0.5197277411682899,2,RF,morgan_count_chiral,R/S_class,train,512
0.9346814404432133,0.9422162521968679,0.685579252897548,0.8421052631578947,0.8369565217391305,0.5,0.7035623639735143,0.8473684210526315,0.8342857142857143,0.5197277411682899,2,RF,morgan_count_chiral,R/S_class,val,512
0.950027700831025,0.9495774230813582,0.7167829363048326,0.8578947368421053,0.8540540540540541,0.5,0.710957872678362,0.8526315789473684,0.8426966292134831,0.5197277411682899,2,RF,morgan_count_chiral,R/S_class,test,512
0.9936598105697492,0.9938560510115559,0.8895970144031653,0.9447958596894767,0.9447004608294931,0.5,0.8833184197761456,0.9387579068430132,0.9420723415828121,0.4478125457771908,3,RF,morgan_count_chiral,R/S_class,train,512
0.9236565096952909,0.9286403670084077,0.6324555320336759,0.8157894736842105,0.8205128205128205,0.5,0.6636317870438417,0.8210526315789474,0.8411214953271028,0.4478125457771908,3,RF,morgan_count_chiral,R/S_class,val,512
0.934016620498615,0.9377967632369998,0.6631578947368421,0.8315789473684211,0.8315789473684211,0.5,0.694340858564394,0.8368421052631579,0.8544600938967136,0.4478125457771908,3,RF,morgan_count_chiral,R/S_class,test,512
0.9938590420158453,0.9940457784335828,0.8942399694838505,0.9470960322024152,0.9468208092485549,0.5,0.8940982245120963,0.9462334675100632,0.9445597391046546,0.5173575714012326,4,RF,morgan_count_chiral,R/S_class,train,512
0.942382271468144,0.9464274609727019,0.6848178363444318,0.8421052631578947,0.845360824742268,0.5,0.7092032061934506,0.8526315789473684,0.8444444444444444,0.5173575714012326,4,RF,morgan_count_chiral,R/S_class,val,512
0.9581163434903046,0.9606538334195098,0.7052631578947368,0.8526315789473684,0.8526315789473684,0.5,0.7092032061934506,0.8526315789473684,0.8444444444444444,0.5173575714012326,4,RF,morgan_count_chiral,R/S_class,test,512
0.9924659099288686,0.9927436049996665,0.8850622027437534,0.9424956871765382,0.9428571428571428,0.5,0.8844691239013073,0.9422081656124209,0.9425221618530168,0.5011186641743446,0,RF,morgan_count_chiral,@/@@_class,train,512
0.7605540166204986,0.7589097802024265,0.43196201984802624,0.7157894736842105,0.7096774193548387,0.5,0.4324422979815302,0.7157894736842105,0.7065217391304348,0.5011186641743446,0,RF,morgan_count_chiral,@/@@_class,val,512
0.8243767313019391,0.8405989899953181,0.48445214165180484,0.7421052631578947,0.7461139896373057,0.5,0.48445214165180484,0.7421052631578947,0.7461139896373057,0.5011186641743446,0,RF,morgan_count_chiral,@/@@_class,test,512
0.9929179421061525,0.9931786245468792,0.8896205489881108,0.9447958596894767,0.9445727482678984,0.5,0.8183563729479372,0.9010925819436457,0.8902361199744735,0.5813941546926671,1,RF,morgan_count_chiral,@/@@_class,train,512
0.7521883656509695,0.776372143935915,0.32813879689547715,0.6631578947368421,0.6444444444444445,0.5,0.3937296553152358,0.6526315789473685,0.49230769230769234,0.5813941546926671,1,RF,morgan_count_chiral,@/@@_class,val,512
